# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_upstream_gene_variant
AL132855.1	ENSG00000258444	ENST00000557368		0	0	0	1	0	0	0	0	0	1
AL355297.1	ENSG00000270487	ENST00000604792		0	0	0	1	1	0	0	0	0	0
AL355297.2	ENSG00000271265	ENST00000604082		0	0	0	1	0	0	0	0	0	1
AL355297.3	ENSG00000271551	ENST00000603191		0	0	0	1	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000346085	protein_coding	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000350026	protein_coding	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000414678	protein_coding	0	0	0	1	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000494260	protein_coding	0	0	0	1	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000636607	protein_coding	0	0	0	1	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000636748	protein_coding	0	0	0	1	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000636930	protein_coding	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000637910	retained_intron	0	0	0	1	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000638000	protein_coding	0	0	0	1	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000647938	protein_coding	1	0	0	0	0	0	0	0	1	0
KCNH2	ENSG00000055118	ENST00000262186	protein_coding	1	0	0	0	0	0	0	0	1	0
KCNH2	ENSG00000055118	ENST00000330883	protein_coding	1	0	0	0	0	0	0	0	1	0
KCNH2	ENSG00000055118	ENST00000430723	protein_coding	0	0	0	1	1	0	0	0	0	0
KCNH2	ENSG00000055118	ENST00000461280	retained_intron	0	0	0	1	1	0	0	0	0	0
KCNH2	ENSG00000055118	ENST00000473610	retained_intron	0	0	0	1	1	0	0	0	0	0
KCNH2	ENSG00000055118	ENST00000532957	retained_intron	0	0	0	1	1	0	0	0	0	0
KCNQ1	ENSG00000053918	ENST00000155840	protein_coding	1	0	0	0	0	0	0	0	1	0
KCNQ1	ENSG00000053918	ENST00000345015	processed_transcript	0	0	0	1	0	0	0	0	0	1
KCNQ1	ENSG00000053918	ENST00000496887	protein_coding	0	0	0	1	0	1	0	0	0	0
KCNQ1	ENSG00000053918	ENST00000646564	protein_coding	0	0	0	1	0	0	0	0	0	1
MADD	ENSG00000110514	ENST00000311027	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000342922	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000349238	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000395336	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000395344	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000402192	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000402799	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000406482	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000407859	protein_coding	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000460452	retained_intron	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000469699	retained_intron	0	0	0	1	1	0	0	0	0	0
MADD	ENSG00000110514	ENST00000634938	protein_coding	0	0	0	1	1	0	0	0	0	0
MIR208B	ENSG00000215991	ENST00000401172	miRNA	0	0	0	1	1	0	0	0	0	0
MIR4466	ENSG00000271899	ENST00000606121	miRNA	0	0	0	1	1	0	0	0	0	0
MYBPC3	ENSG00000134571	ENST00000256993	protein_coding	1	0	0	0	0	0	0	0	1	0
MYBPC3	ENSG00000134571	ENST00000399249	protein_coding	1	0	0	0	0	0	0	0	1	0
MYBPC3	ENSG00000134571	ENST00000544791	nonsense_mediated_decay	0	0	0	1	1	0	0	0	0	0
MYBPC3	ENSG00000134571	ENST00000545968	protein_coding	1	0	0	0	0	0	0	0	1	0
MYH7	ENSG00000092054	ENST00000355349	protein_coding	0	1	0	0	0	1	0	1	0	0
PTPN11	ENSG00000179295	ENST00000351677	protein_coding	0	0	1	0	0	0	1	0	0	0
PTPN11	ENSG00000179295	ENST00000392597	protein_coding	0	0	1	0	0	0	1	0	0	0
PTPN11	ENSG00000179295	ENST00000531326	processed_transcript	0	0	0	1	1	0	0	0	0	0
PTPN11	ENSG00000179295	ENST00000635625	protein_coding	0	0	1	0	0	0	1	0	0	0
PTPN11	ENSG00000179295	ENST00000639857	protein_coding	0	0	1	0	0	0	1	0	0	0
RPL6	ENSG00000089009	ENST00000551291	protein_coding	0	0	0	1	0	0	0	0	0	1
